"prodcodeid"	"termfromemis"	"cat"
"13913841000033113"	"Adjuvanted quadrivalent influenza vaccine (surface antigen, inactivated) suspension for injection 0.5ml pre-filled syringes (Seqirus UK Ltd)"	"new"
"2641741000033118"	"Agrippal vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus UK Ltd)"	"new"
"147441000033115"	"Begrivac vaccine suspension for injection 0.5ml pre-filled syringes (Novartis Vaccines and Diagnostics Ltd)"	"new"
"13913741000033115"	"Cell-based quadrivalent influenza vaccine (surface antigen, inactivated) suspension for injection 0.5ml pre-filled syringes (Seqirus UK Ltd)"	"new"
"3331741000033119"	"Enzira vaccine suspension for injection 0.5ml pre-filled syringes (Pfizer Ltd)"	"new"
"13718641000033111"	"Fluad Tetra vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus UK Ltd)"	"new"
"12593041000033119"	"Fluad vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus UK Ltd)"	"new"
"13740441000033118"	"Flublok Quadrivalent vaccine (recombinant) solution for injection 0.5ml pre-filled syringes (Imported (United States))"	"new"
"12884141000033117"	"Flucelvax Tetra vaccine suspension for injection 0.5ml pre-filled syringes (Seqirus UK Ltd)"	"new"
"3952441000033113"	"Imuvac vaccine suspension for injection 0.5ml pre-filled syringes (Viatris UK Healthcare Ltd)"	"new"
"6452541000033117"	"Inflexal V vaccine suspension for injection 0.5ml pre-filled syringes (Janssen-Cilag Ltd)"	"new"
"12599041000033117"	"Influenza Tetra MYL vaccine suspension for injection 0.5ml pre-filled syringes (Viatris UK Healthcare Ltd)"	"new"
"9702041000033119"	"Influenza vaccine (split virion, inactivated) suspension for injection 0.5ml pre-filled syringes (Pfizer Ltd)"	"new"
"5093241000033112"	"Intanza 15microgram strain vaccine suspension for injection 0.1ml pre-filled syringes (sanofi pasteur MSD Ltd)"	"new"
"5415741000033111"	"Intanza 9microgram strain vaccine suspension for injection 0.1ml pre-filled syringes (sanofi pasteur MSD Ltd)"	"new"
"3188641000033119"	"Invivac vaccine suspension for injection 0.5ml pre-filled syringes (Abbott Healthcare Products Ltd)"	"new"
"13011941000033111"	"Trivalent influenza vaccine (split virion, inactivated) High Dose suspension for injection 0.5ml pre-filled syringes (Sanofi Pasteur)"	"new"
