"term"	"medcodeid"	"originalreadcode"	"cleansedreadcode"	"snomedctconceptid"	"snomedctdescriptionid"	"release"	"emiscodecategoryid"
"Insulin dependent diab mell with neuropathic arthropathy"	"772131000006111"	"C108J"	"C108J00"	"201724008"	"309740011"	""	32
"Insulin dependent diab mell with neuropathic arthropathy"	"913981000006115"	"C10EJ-2"	"C10EJ12"	"201724008"	"309740011"	""	32
"Insulin dependent diab mell with peripheral angiopathy"	"772141000006118"	"C108G"	"C108G00"	"421895002"	"2618203015"	""	32
"Insulin dependent diab mell with peripheral angiopathy"	"913921000006119"	"C10EG-2"	"C10EG12"	"421895002"	"2618203015"	""	32
"Insulin dependent diabetes maturity onset"	"772151000006116"	"C1089"	"C108900"	"73211009"	"121589010"	""	32
"Insulin dependent diabetes maturity onset"	"913711000006112"	"C10E9-2"	"C10E912"	"73211009"	"121589010"	""	32
"Insulin dependent diabetes mellitus - poor control"	"772181000006112"	"C1088"	"C108800"	"268519009"	"401531012"	""	27
"Insulin dependent diabetes mellitus - poor control"	"913681000006111"	"C10E8-2"	"C10E812"	"268519009"	"401531012"	""	27
"IDDM with peripheral circulatory disorder"	"787101000006114"	"C1073"	"C107300"	"421895002"	"2618203015"	""	32
"IDDM-Insulin dependent diabetes mellitus"	"787111000006112"	"C108-1"	"C108.11"	"73211009"	"121589010"	""	32
"Insulin dependent diabetes mellitus with multiple complicat"	"913531000006111"	"C10E3-2"	"C10E312"	"385041000000108"	"760111000000115"	""	32
"Skin ulcer associated with diabetes mellitus"	"913591000006110"	"C10E5-2"	"C10E512"	"422183001"	"2623058011"	""	32
"Type 1 diabetes mellitus with peripheral angiopathy"	"913931000006116"	"C10EG"	"C10EG00"	"31211000119101"	"3315042015"	""	32
"Peripheral angiopathy due to type 1 diabetes mellitus"	"913941000006114"	"C10EG-1"	"C10EG11"	"31211000119101"	"3315042015"	""	32
