medcodeid	originalreadcode	readcode	term	snomedctconceptid	snomedctdescriptionid	eth16	eth5
138181000000111	9i2D	9i2D.00	Traveller - ethnic category 2001 census	88921000000107	138181000000111	3. Other White	0. White
138191000000113	9i2E	9i2E.00	Gypsy/Romany - ethnic category 2001 census	88931000000109	138191000000113	3. Other White	0. White
138201000000110	9i2F	9i2F.00	Polish - ethnic category 2001 census	88941000000100	138201000000110	3. Other White	0. White
937301000006110	9i2G	9i2G.00	Baltic States (Estonian or Latvian or Lithuanian) - ethnic category 2001 census	88951000000102	138211000000112	3. Other White	0. White
937311000006113	9i2H	9i2H.00	Commonwealth of (Russian) Independent States - ethnic category 2001 census	88961000000104	138221000000118	3. Other White	0. White
142741000000118	9i2J	9i2J.00	Kosovan - ethnic category 2001 census	93981000000100	142741000000118	3. Other White	0. White
138231000000116	9i2K	9i2K.00	Albanian - ethnic category 2001 census	88971000000106	138231000000116	3. Other White	0. White
142751000000115	9i2L	9i2L.00	Bosnian - ethnic category 2001 census	93991000000103	142751000000115	3. Other White	0. White
142761000000117	9i2M	9i2M.00	Croatian - ethnic category 2001 census	94001000000108	142761000000117	3. Other White	0. White
157991000000110	9i2N	9i2N.00	Serbian - ethnic category 2001 census	88981000000108	157991000000110	3. Other White	0. White
937371000006116	9i2P	9i2P.00	Other republics which made up the former Yugoslavia - ethnic category 2001 census	94011000000105	142771000000112	3. Other White	0. White
142781000000114	9i2Q	9i2Q.00	Mixed Irish and other White - ethnic category 2001 census	94021000000104	142781000000114	3. Other White	0. White
937391000006115	9i2R	9i2R.00	Other White European or European unspecified or Mixed European - ethnic category 2001 census	94041000000106	142801000000110	3. Other White	0. White
142791000000111	9i2S	9i2S.00	Other mixed White - ethnic category 2001 census	94031000000102	142791000000111	3. Other White	0. White
937411000006115	9i2T	9i2T.00	Other White or White unspecified - ethnic category 2001 census	94051000000109	158491000000118	3. Other White	0. White
1968071000006114	9t02	9t02.00	White: Gypsy or Irish Traveller - England and Wales ethnic category 2011 census	976671000000104	2484711000000117	3. Other White	0. White
1968081000006112	9t03	9t03.00	White: any other White background - England and Wales ethnic category 2011 census	976691000000100	2484751000000118	3. Other White	0. White
1968251000006113	9t11	9t11.00	Irish Traveller - Northern Ireland ethnic category 2011 census	977371000000109	2486201000000116	3. Other White	0. White
1968441000006112	9t23	9t23.00	White: Gypsy or Irish Traveller - Scotland ethnic category 2011 census	977971000000108	2487401000000115	3. Other White	0. White
2487481000000113	9t24	9t24.00	White: Polish - Scotland ethnic category 2011 census	978011000000101	2487481000000113	3. Other White	0. White
1968461000006111	9t25	9t25.00	White: any other White ethnic group - Scotland ethnic category 2011 census	978031000000109	2487521000000113	3. Other White	0. White
1564921000006112	EMISNQIN16	NA	Indian	1564921000006108	1564921000006112	8. Indian	1. South Asian
250228011	1347	1347.00	Indian origin	160519009	250228011	8. Indian	1. South Asian
285954016	9S6	9S6..00	Indian	414481008	2533844017	8. Indian	1. South Asian
781081000006113	9T1D	9T1D.00	Indian	414481008	2533844017	8. Indian	1. South Asian
157271000000119	9i7	9i7..00	Indian or British Indian - ethnic category 2001 census	110751000000108	157271000000119	8. Indian	1. South Asian
1968131000006112	9t08	9t08.00	Asian or Asian British: Indian - England and Wales ethnic category 2011 census	976791000000107	2484951000000116	8. Indian	1. South Asian
1968301000006118	9t16	9t16.00	Asian or Asian British: Indian - Northern Ireland ethnic category 2011 census	977591000000103	2486641000000116	8. Indian	1. South Asian
1968491000006115	9t28	9t28.00	Asian or Asian Scottish or Asian British: Indian, Indian Scottish or Indian British - Scotland ethnic category 2011 census	978111000000100	2487681000000110	8. Indian	1. South Asian
1565441000006111	EMISNQPA32	NA	Pakistani	1565441000006107	1565441000006111	9. Pakistani	1. South Asian
196721000006111	134M	134M.00	RACE: Pakistani	186002003	285955015	9. Pakistani	1. South Asian
285955015	9S7	9S7..00	Pakistani	186002003	285955015	9. Pakistani	1. South Asian
141361000000114	9i8	9i8..00	Pakistani or British Pakistani - ethnic category 2001 census	92461000000105	141361000000114	9. Pakistani	1. South Asian
1968141000006119	9t09	9t09.00	Asian or Asian British: Pakistani - England and Wales ethnic category 2011 census	976811000000108	2484991000000112	9. Pakistani	1. South Asian
1968311000006115	9t17	9t17.00	Asian or Asian British: Pakistani - Northern Ireland ethnic category 2011 census	977711000000100	2486881000000113	9. Pakistani	1. South Asian
1968481000006118	9t27	9t27.00	Asian or Asian Scottish or Asian British: Pakistani, Pakistani Scottish or Pakistani British - Scotland ethnic category 2011 census	978071000000106	2487601000000117	9. Pakistani	1. South Asian
1564291000006119	EMISNQBA5	NA	Bangladeshi	1564291000006103	1564291000006119	10. Bangladeshi	1. South Asian
196631000006117	134I	134I.00	RACE: Bangladeshi	186003008	285956019	10. Bangladeshi	1. South Asian
285956019	9S8	9S8..00	Bangladeshi	186003008	285956019	10. Bangladeshi	1. South Asian
937541000006115	9i9	9i9..00	Bangladeshi or British Bangladeshi - ethnic category 2001 census	92471000000103	141371000000119	10. Bangladeshi	1. South Asian
1968151000006117	9t0A	9t0A.00	Asian or Asian British: Bangladeshi - England and Wales ethnic category 2011 census	976831000000100	2485031000000111	10. Bangladeshi	1. South Asian
1968321000006111	9t18	9t18.00	Asian or Asian British: Bangladeshi - Northern Ireland ethnic category 2011 census	977731000000108	2486921000000119	10. Bangladeshi	1. South Asian
1968501000006111	9t29	9t29.00	Asian or Asian Scottish or Asian British: Bangladeshi, Bangladeshi Scottish or Bangladeshi British - Scotland ethnic category 2011 census	978171000000105	2487801000000118	10. Bangladeshi	1. South Asian
250224013	1343	1343.00	Asian origin	160515003	250224013	11. Other Asian	1. South Asian
250231012	134A	134A.00	West Indian origin	160522006	250231012	11. Other Asian	1. South Asian
250243013	134K	134K.00	Race: West indian	160531006	250243013	11. Other Asian	1. South Asian
412016016	2263-1	2263.11	O/E - Asian origin	276029002	412016016	11. Other Asian	1. South Asian
405069018	9SA6	9SA6.00	E Afric Asian/Indo-Carib (NMO)	270465005	405069018	11. Other Asian	1. South Asian
411583012	9SA6-1	9SA6.11	East African Asian (NMO)	275596000	411583012	11. Other Asian	1. South Asian
411584018	9SA6-2	9SA6.12	Indo-Caribbean (NMO)	275597009	411584018	11. Other Asian	1. South Asian
285976013	9SA7	9SA7.00	Indian sub-continent (NMO)	186012005	285976013	11. Other Asian	1. South Asian
285977016	9SA8	9SA8.00	Other Asian (NMO)	186013000	285977016	11. Other Asian	1. South Asian
459784018	9SH	9SH..00	Other Asian ethnic group	315281001	459784018	11. Other Asian	1. South Asian
286020010	9T1E	9T1E.00	Asian - ethnic group	315280000	459783012	11. Other Asian	1. South Asian
1572831000000110	9T9	9T9..00	Nepali	718131000000106	1572831000000110	11. Other Asian	1. South Asian
141381000000117	9iA	9iA..00	Other Asian background - ethnic category 2001 census	92481000000101	141381000000117	11. Other Asian	1. South Asian
141521000000110	9iA1	9iA1.00	Punjabi - ethnic category 2001 census	92641000000107	141521000000110	11. Other Asian	1. South Asian
141531000000112	9iA2	9iA2.00	Kashmiri - ethnic category 2001 census	92651000000105	141531000000112	11. Other Asian	1. South Asian
141541000000115	9iA3	9iA3.00	East African Asian - ethnic category 2001 census	92661000000108	141541000000115	11. Other Asian	1. South Asian
136081000000111	9iA4	9iA4.00	Sri Lankan - ethnic category 2001 census	86461000000107	136081000000111	11. Other Asian	1. South Asian
141551000000117	9iA5	9iA5.00	Tamil - ethnic category 2001 census	92671000000101	141551000000117	11. Other Asian	1. South Asian
157301000000116	9iA6	9iA6.00	Sinhalese - ethnic category 2001 census	110781000000102	157301000000116	11. Other Asian	1. South Asian
141571000000114	9iA7	9iA7.00	Caribbean Asian - ethnic category 2001 census	92691000000102	141571000000114	11. Other Asian	1. South Asian
141561000000119	9iA8	9iA8.00	British Asian - ethnic category 2001 census	92681000000104	141561000000119	11. Other Asian	1. South Asian
141511000000116	9iA9	9iA9.00	Mixed Asian - ethnic category 2001 census	92631000000103	141511000000116	11. Other Asian	1. South Asian
937651000006117	9iAA	9iAA.00	Other Asian or Asian unspecified - ethnic category 2001 census	92701000000102	141581000000111	11. Other Asian	1. South Asian
1968171000006110	9t0C	9t0C.00	Asian or Asian British: any other Asian background - England and Wales ethnic category 2011 census	976871000000103	2485111000000119	11. Other Asian	1. South Asian
1968341000006116	9t1A	9t1A.00	Asian or Asian British: any other Asian background - Northern Ireland ethnic category 2011 census	977771000000105	2487001000000110	11. Other Asian	1. South Asian
1968521000006118	9t2B	9t2B.00	Asian or Asian Scottish or Asian British: any other Asian group - Scotland ethnic category 2011 census	978211000000108	2487891000000113	11. Other Asian	1. South Asian
514611000006111	9S2	9S2..00	Black Caribbean	185988007	285930014	12. Caribbean	2. Black
154401000000118	9iB	9iB..00	Caribbean - ethnic category 2001 census	107691000000105	154401000000118	12. Caribbean	2. Black
1968191000006111	9t0E	9t0E.00	Black or African or Caribbean or Black British: Caribbean - England and Wales ethnic category 2011 census	976911000000101	2485191000000111	12. Caribbean	2. Black
1968361000006117	9t1C	9t1C.00	Black or African or Caribbean or Black British: Caribbean - Northern Ireland ethnic category 2011 census	977811000000105	2487081000000117	12. Caribbean	2. Black
1968551000006110	9t2E	9t2E.00	Caribbean or Black: Caribbean, Caribbean Scottish or Caribbean British - Scotland ethnic category 2011 census	978271000000103	2488011000000113	12. Caribbean	2. Black
1564491000006115	EMISNQCE3	NA	Central African	1564491000006104	1564491000006115	13. African	2. Black
1565711000006118	EMISNQSO9	NA	South African	1565711000006102	1565711000006118	13. African	2. Black
250223019	1342	1342.00	African origin	160514004	250223019	13. African	2. Black
30683015	9S3	9S3..00	Black African	18167009	30683015	13. African	2. Black
285943014	9S44	9S44.00	Black - other African country	185993005	285943014	13. African	2. Black
285971015	9SA5	9SA5.00	Other African countries (NMO)	186010002	285971015	13. African	2. Black
141391000000115	9iC	9iC..00	African - ethnic category 2001 census	92491000000104	141391000000115	13. African	2. Black
141591000000113	9iD0	9iD0.00	Somali - ethnic category 2001 census	92711000000100	141591000000113	13. African	2. Black
141601000000119	9iD1	9iD1.00	Nigerian - ethnic category 2001 census	92731000000108	141601000000119	13. African	2. Black
1968181000006113	9t0D	9t0D.00	Black or African or Caribbean or Black British: African - England and Wales ethnic category 2011 census	976891000000104	2485151000000115	13. African	2. Black
1968351000006119	9t1B	9t1B.00	Black or African or Caribbean or Black British: African - Northern Ireland ethnic category 2011 census	977791000000109	2487041000000113	13. African	2. Black
1968531000006115	9t2C	9t2C.00	African: African, African Scottish or African British - Scotland ethnic category 2011 census	978231000000100	2487931000000115	13. African	2. Black
1968541000006113	9t2D	9t2D.00	African: any other African - Scotland ethnic category 2011 census	978251000000107	2487971000000118	13. African	2. Black
459730016	ESCTBL5	NA	Black - ethnic group	315240009	459730016	14. Other Black	2. Black
196601000006113	134H	134H.00	Afro-Caribbean	413465009	2533840014	14. Other Black	2. Black
285931013	9S4	9S4..00	Black, other, non-mixed origin	185989004	285931013	14. Other Black	2. Black
285932018	9S41	9S41.00	Black British	185990008	285932018	14. Other Black	2. Black
405064011	9S42	9S42.00	Black Caribbean/W.I./Guyana	270460000	405064011	14. Other Black	2. Black
285930014	9S42-1	9S42.11	Black Caribbean	185988007	285930014	14. Other Black	2. Black
453109012	9S42-2	9S42.12	Black West Indian	309643000	453109012	14. Other Black	2. Black
453110019	9S42-3	9S42.13	Black Guyana	309644006	453110019	14. Other Black	2. Black
405065012	9S43	9S43.00	Black N African/Arab/Iranian	270461001	405065012	14. Other Black	2. Black
411573013	9S43-1	9S43.11	Black North African	275586009	411573013	14. Other Black	2. Black
411574019	9S43-2	9S43.12	Black Arab	275587000	411574019	14. Other Black	2. Black
411575018	9S43-3	9S43.13	Black Iranian	275588005	411575018	14. Other Black	2. Black
514651000006112	9S45	9S45.00	Black East African Asian/Indo-Caribbean	270462008	405066013	14. Other Black	2. Black
411576017	9S45-1	9S45.11	Black East African Asian	275589002	411576017	14. Other Black	2. Black
411577014	9S45-2	9S45.12	Black Indo-Caribbean	275590006	411577014	14. Other Black	2. Black
285948017	9S46	9S46.00	Black Indian sub-continent	185995003	285948017	14. Other Black	2. Black
285949013	9S47	9S47.00	Black - other Asian	185996002	285949013	14. Other Black	2. Black
285950013	9S48	9S48.00	Black Black - other	185989004	285931013	14. Other Black	2. Black
285951012	9S5	9S5..00	Black - other, mixed	185998001	285951012	14. Other Black	2. Black
405067016	9SA3	9SA3.00	Caribbean I./W.I./Guyana (NMO)	270463003	405067016	14. Other Black	2. Black
411578016	9SA3-1	9SA3.11	Caribbean Island (NMO)	275591005	411578016	14. Other Black	2. Black
411579012	9SA3-2	9SA3.12	West Indian (NMO)	275592003	411579012	14. Other Black	2. Black
411580010	9SA3-3	9SA3.13	Guyana (NMO)	275593008	411580010	14. Other Black	2. Black
459782019	9SG	9SG..00	Other black ethnic group	315279003	459782019	14. Other Black	2. Black
158351000000119	9iD	9iD..00	Other Black background - ethnic category 2001 census	92501000000105	158351000000119	14. Other Black	2. Black
157311000000119	9iD2	9iD2.00	Black British - ethnic category 2001 census	110791000000100	157311000000119	14. Other Black	2. Black
158371000000111	9iD3	9iD3.00	Mixed Black - ethnic category 2001 census	92721000000106	158371000000111	14. Other Black	2. Black
937731000006115	9iD4	9iD4.00	Other Black or Black unspecified - ethnic category 2001 census	92741000000104	141611000000117	14. Other Black	2. Black
1968201000006114	9t0F	9t0F.00	Black or African or Caribbean or Black British: other Black or African or Caribbean background - England and Wales ethnic category 2011 census	976931000000109	2485231000000119	14. Other Black	2. Black
1968371000006112	9t1D	9t1D.00	Black or African or Caribbean or Black British: other Black or African or Caribbean background - Northern Ireland ethnic category 2011 census	977831000000102	2487121000000119	14. Other Black	2. Black
1968561000006112	9t2F	9t2F.00	Caribbean or Black: Black, Black Scottish or Black British - Scotland ethnic category 2011 census	978341000000102	2488181000000119	14. Other Black	2. Black
1968571000006117	9t2G	9t2G.00	Caribbean or Black: any other Black or Caribbean group - Scotland ethnic category 2011 census	978361000000101	2488221000000112	14. Other Black	2. Black
56590016	9S9	9S9..00	Chinese	33897005	56590016	15. Chinese	3. Other
550541000006110	9T1C	9T1C.00	Chinese	33897005	56590016	15. Chinese	3. Other
141401000000117	9iE	9iE..00	Chinese - ethnic category 2001 census	92511000000107	141401000000117	15. Chinese	3. Other
1968161000006115	9t0B	9t0B.00	Asian or Asian British: Chinese - England and Wales ethnic category 2011 census	976851000000107	2485071000000113	15. Chinese	3. Other
1968331000006114	9t19	9t19.00	Asian or Asian British: Chinese - Northern Ireland ethnic category 2011 census	977751000000101	2486961000000110	15. Chinese	3. Other
1968511000006114	9t2A	9t2A.00	Asian or Asian Scottish or Asian British: Chinese - Scotland ethnic category 2011 census	978191000000109	2487851000000117	15. Chinese	3. Other
4740261000006118	^ESCTBR474026	NA	British ethnic minority unspecified (NMO)	186007009	2668698012	16. Other ethnic group	3. Other
4740241000006117	^ESCTBR474024	NA	British ethnic minority specified (NMO)	186006000	2668697019	16. Other ethnic group	3. Other
285958018	9SA	9SA..00	Other ethnic non-mixed (NMO)	186005001	285958018	16. Other ethnic group	3. Other
285959014	9SA1	9SA1.00	Brit. ethnic minor. spec.(NMO)	186006000	285959014	16. Other ethnic group	3. Other
285960016	9SA2	9SA2.00	Brit. ethnic minor. unsp (NMO)	186007009	285960016	16. Other ethnic group	3. Other
405068014	9SA4	9SA4.00	N African Arab/Iranian (NMO)	270464009	405068014	16. Other ethnic group	3. Other
411581014	9SA4-1	9SA4.11	North African Arab (NMO)	275594002	411581014	16. Other ethnic group	3. Other
411582019	9SA4-2	9SA4.12	Iranian (NMO)	275595001	411582019	16. Other ethnic group	3. Other
285988010	9SAD	9SAD.00	Other ethnic NEC (NMO)	186005001	285958018	16. Other ethnic group	3. Other
456650013	9SC	9SC..00	Vietnamese	312859007	456650013	16. Other ethnic group	3. Other
459785017	9SJ	9SJ..00	Ethnic group	372148003	1210724015	16. Other ethnic group	3. Other
286012013	9T13	9T13.00	New Zealand Maori	186039002	286012013	16. Other ethnic group	3. Other
507015012	9T14	9T14.00	Samoan	86275006	507015012	16. Other ethnic group	3. Other
286013015	9T15	9T15.00	Cook Island Maori	186040000	286013015	16. Other ethnic group	3. Other
504723011	9T16	9T16.00	Tongan	81560001	504723011	16. Other ethnic group	3. Other
286014014	9T17	9T17.00	Niuean	186041001	286014014	16. Other ethnic group	3. Other
286015010	9T18	9T18.00	Tokelauan	186042008	286015010	16. Other ethnic group	3. Other
501416013	9T19	9T19.00	Fijian	69865008	501416013	16. Other ethnic group	3. Other
286017019	9T1A	9T1A.00	Other Pacific ethnic group	372148003	1210724015	16. Other ethnic group	3. Other
286018012	9T1B	9T1B.00	South East Asian	186044009	286018012	16. Other ethnic group	3. Other
286021014	9T1Y	9T1Y.00	Other New Zealand ethnic group	186035008	286006015	16. Other ethnic group	3. Other
286022019	9T1Z	9T1Z.00	New Zealand ethnic group NOS	186035008	286006015	16. Other ethnic group	3. Other
523591000000116	9T3	9T3..00	Yemeni	296841000000102	523591000000116	16. Other ethnic group	3. Other
141411000000115	9iF	9iF..00	Other - ethnic category 2001 census	92521000000101	141411000000115	16. Other ethnic group	3. Other
141621000000111	9iF0	9iF0.00	Vietnamese - ethnic category 2001 census	92751000000101	141621000000111	16. Other ethnic group	3. Other
141631000000113	9iF1	9iF1.00	Japanese - ethnic category 2001 census	92761000000103	141631000000113	16. Other ethnic group	3. Other
141641000000116	9iF2	9iF2.00	Filipino - ethnic category 2001 census	92771000000105	141641000000116	16. Other ethnic group	3. Other
141651000000118	9iF3	9iF3.00	Malaysian - ethnic category 2001 census	92781000000107	141651000000118	16. Other ethnic group	3. Other
138251000000111	9iF9	9iF9.00	Arab - ethnic category 2001 census	89001000000105	138251000000111	16. Other ethnic group	3. Other
142811000000112	9iFA	9iFA.00	North African - ethnic category 2001 census	94061000000107	142811000000112	16. Other ethnic group	3. Other
937871000006114	9iFB	9iFB.00	Middle Eastern (excluding Israeli, Iranian and Arab) - ethnic category 2001 census	94071000000100	142821000000118	16. Other ethnic group	3. Other
142831000000116	9iFC	9iFC.00	Israeli - ethnic category 2001 census	94081000000103	142831000000116	16. Other ethnic group	3. Other
138261000000114	9iFD	9iFD.00	Iranian - ethnic category 2001 census	89011000000107	138261000000114	16. Other ethnic group	3. Other
142841000000113	9iFE	9iFE.00	Kurdish - ethnic category 2001 census	94091000000101	142841000000113	16. Other ethnic group	3. Other
142851000000111	9iFF	9iFF.00	Moroccan - ethnic category 2001 census	94101000000109	142851000000111	16. Other ethnic group	3. Other
142861000000114	9iFG	9iFG.00	Latin American - ethnic category 2001 census	94111000000106	142861000000114	16. Other ethnic group	3. Other
138271000000119	9iFH	9iFH.00	South and Central American - ethnic category 2001 census	89021000000101	138271000000119	16. Other ethnic group	3. Other
937941000006111	9iFJ	9iFJ.00	Multi-ethnic islands: Mauritian or Seychellois or Maldivian or St Helena - ethnic category 2001 census	94121000000100	142871000000119	16. Other ethnic group	3. Other
142901000000119	9iFK	9iFK.00	Any other group - ethnic category 2001 census	94151000000105	142901000000119	16. Other ethnic group	3. Other
1968211000006112	9t0G	9t0G.00	Other ethnic group: Arab - England and Wales ethnic category 2011 census	976951000000102	2485271000000117	16. Other ethnic group	3. Other
1968221000006116	9t0H	9t0H.00	Other ethnic group: any other ethnic group - England and Wales ethnic category 2011 census	976971000000106	2485311000000117	16. Other ethnic group	3. Other
1968381000006110	9t1E	9t1E.00	Other ethnic group: Arab - Northern Ireland ethnic category 2011 census	977851000000109	2487161000000110	16. Other ethnic group	3. Other
1968391000006113	9t1F	9t1F.00	Other ethnic group: any other ethnic group - Northern Ireland ethnic category 2011 census	977871000000100	2487201000000119	16. Other ethnic group	3. Other
1968581000006119	9t2H	9t2H.00	Other ethnic group: Arab, Arab Scottish or Arab British - Scotland ethnic category 2011 census	978381000000105	2488261000000116	16. Other ethnic group	3. Other
1968591000006116	9t2J	9t2J.00	Other ethnic group: any other ethnic group - Scotland ethnic category 2011 census	978401000000105	2488301000000114	16. Other ethnic group	3. Other
460153018	9SB5	9SB5.00	Black Caribbean and White	315634007	460153018	4. White and Black Caribbean	4. Mixed
141321000000118	9i3	9i3..00	White and Black Caribbean - ethnic category 2001 census	92421000000102	141321000000118	4. White and Black Caribbean	4. Mixed
1968091000006110	9t04	9t04.00	Mixed multiple ethnic groups: White and Black Caribbean - England and Wales ethnic category 2011 census	976711000000103	2484791000000114	4. White and Black Caribbean	4. Mixed
1968261000006110	9t12	9t12.00	Mixed multiple ethnic groups: White and Black Caribbean - Northern Ireland ethnic category 2011 census	977391000000108	2486241000000118	4. White and Black Caribbean	4. Mixed
196611000006111	134L	134L.00	Afro-Caucasian	413466005	2533841013	5. White and Black African	4. Mixed
460154012	9SB6	9SB6.00	Black African and White	315635008	460154012	5. White and Black African	4. Mixed
141331000000116	9i4	9i4..00	White and Black African - ethnic category 2001 census	92431000000100	141331000000116	5. White and Black African	4. Mixed
1968101000006116	9t05	9t05.00	Mixed multiple ethnic groups: White and Black African - England and Wales ethnic category 2011 census	976731000000106	2484831000000119	5. White and Black African	4. Mixed
1968271000006115	9t13	9t13.00	Mixed multiple ethnic groups: White and Black African - Northern Ireland ethnic category 2011 census	977411000000108	2486281000000114	5. White and Black African	4. Mixed
285991010	9SB2	9SB2.00	Other ethnic, Asian/White orig	186021006	285991010	6. White and Asian	4. Mixed
141341000000113	9i5	9i5..00	White and Asian - ethnic category 2001 census	92441000000109	141341000000113	6. White and Asian	4. Mixed
1968111000006118	9t06	9t06.00	Mixed multiple ethnic groups: White and Asian - England and Wales ethnic category 2011 census	976751000000104	2484871000000117	6. White and Asian	4. Mixed
1968281000006117	9t14	9t14.00	Mixed multiple ethnic groups: White and Asian - Northern Ireland ethnic category 2011 census	977431000000100	2486321000000118	6. White and Asian	4. Mixed
459729014	ESCTMI5	NA	Mixed ethnic census group	315239007	459729014	7. Other Mixed	4. Mixed
4740341000006112	^ESCTOT474034	NA	Other ethnic, Black/White origin	186020007	2763938013	7. Other Mixed	4. Mixed
4740381000006118	^ESCTOT474038	NA	Other ethnic, mixed white origin	186022004	2668812012	7. Other Mixed	4. Mixed
4740401000006118	^ESCTOT474040	NA	Other ethnic, other mixed origin	186023009	2668813019	7. Other Mixed	4. Mixed
4740361000006111	^ESCTOT474036	NA	Other ethnic, Asian/White origin	186021006	2764123018	7. Other Mixed	4. Mixed
285952017	9S51	9S51.00	Other Black - Black/White orig	185999009	285952017	7. Other Mixed	4. Mixed
285953010	9S52	9S52.00	Other Black - Black/Asian orig	186000006	285953010	7. Other Mixed	4. Mixed
